expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
AMAD14360,AMAD,2014,3,Australia,Richard Agnew,Agnew Australian Ama Dablam Expedition 2014,TRUE,1,1,0,FALSE
AMAD14361,AMAD,2014,3,USA,Garrett Madison,Madison Mountaineering Ama Dablam Expedition 2014,TRUE,3,3,0,FALSE
AMAD14362,AMAD,2014,3,Belgium,Andy Leemans,Belgian Ama Dablam Expedition 2014,FALSE,3,0,0,FALSE
AMAD14363,AMAD,2014,3,Hong Kong,Lok-Kee Siu,Hong Kong Ama Dablam Expedition 2014,TRUE,3,2,0,FALSE
AMAD14364,AMAD,2014,3,France,Olivier Demay,Demay French Ama Dablam Expedition 2014,TRUE,1,1,0,FALSE
AMAD14365,AMAD,2014,3,Spain,Faust Punsola,Spanish Ama Dablam Expeditin 2014,FALSE,3,0,0,FALSE
AMAD14366,AMAD,2014,3,UK,Tim Mosedale,Tim Mosedale's Ama Dablam Autumn 2014,FALSE,10,0,0,FALSE
BARU14307,BARU,2014,3,Sweden,Joel Zachrisson,,FALSE,3,0,0,FALSE
BARU14308,BARU,2014,3,Russia,Dimitri Davidenko,Russian Baruntse Expedition 2014,FALSE,4,0,0,FALSE
HIML14305,HIML,2014,3,France,Cecile Fraisse,French Himlung Expedition,FALSE,4,0,0,FALSE
HIML14306,HIML,2014,3,USA,Luke Smithwick,,FALSE,3,0,0,FALSE
MAKA14302,MAKA,2014,3,USA,Garrett Madison,Madison Mountaineering Makalu Expedition 2014,FALSE,2,0,0,FALSE
MAKA14303,MAKA,2014,3,Slovenia,Irena Mrak,Slovene Makalu Expedition 2014,FALSE,3,0,0,FALSE
MANA14325,MANA,2014,3,China,Li Jiong,Chinese Manaslu Expedition 2014,TRUE,1,1,0,FALSE
MANA14326,MANA,2014,3,France,Franck Candelier,French Manaslu Expedition,TRUE,2,1,0,FALSE
MANA14327,MANA,2014,3,China,He Ya-Ping,Chinese Manaslu Expedition 2014,TRUE,2,2,0,FALSE
PUTH14307,PUTH,2014,3,Germany,Alexander Scherl,Furtenbach Adventures Putha Hiunchuli Expedition 2014,TRUE,2,1,0,FALSE
TUKU14302,TUKU,2014,3,Germany,Hannes Konkel,Trail of Change Tukuche Expedition 2014,FALSE,3,0,0,FALSE
HCHI14301,HCHI,2014,3,UK,Simon Yates,,FALSE,7,0,0,FALSE
MNSL14302,MNSL,2014,3,USA,Melissa Arnot,Eddie Bauer First Ascents Mustang Expedition 2014,FALSE,3,0,0,FALSE
ANN115103,ANN1,2015,1,Australia,Christine Burke,Annapurna I Spring 2015,FALSE,1,0,0,FALSE
