expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
MAKA88302,MAKA,1988,3,Spain,Josep Aced,Expedition Makalu 1988,FALSE,11,0,0,FALSE
MAKA88301,MAKA,1988,3,UK,Doug Scott,Makalu Expedition,FALSE,11,0,0,FALSE
BARU88301,BARU,1988,3,W Germany,Ulrich Weber,Aachen Baruntse Expedition,FALSE,4,0,0,FALSE
BARU88302,BARU,1988,3,France,Gilles Buisson,Atalante Baruntse Expedition,FALSE,8,0,0,FALSE
KANG88301,KANG,1988,3,Japan,Masaaki Fukushima,Himalaya Dojin Kangchenjunga Expedition,TRUE,3,1,0,TRUE
MAKA87303,MAKA,1987,3,Austria,Wilfried Studer,Mountain Guide Expedition to Makalu,FALSE,5,0,0,FALSE
MAKA87301,MAKA,1987,3,France,Michel Fauquet,French Makalu Expedition,FALSE,13,0,0,FALSE
BARU87301,BARU,1987,3,France,Andre Mathis,French Expedition to Baruntse,FALSE,4,0,0,FALSE
BARU87302,BARU,1987,3,France,Claude Jaccoux,Altitude Extreme,FALSE,5,0,0,FALSE
MAKA87302,MAKA,1987,3,Switzerland,Daniel Anker,Swiss Makalu Expedition,FALSE,3,0,0,FALSE
JANU87302,JANU,1987,3,France,Pierre Beghin,Kumbhakarna French Adventure to Jannu (Kumbhakarna),TRUE,4,2,0,FALSE
YALU87301,YALU,1987,3,USA,Magda King Nos Loppe,First American Yalungkang Expedition,FALSE,5,0,0,FALSE
KANS87301,KANS,1987,3,Belgium,Alain Hubert,Belgian Expedition to Kangchenjunga South,FALSE,3,0,0,FALSE
KANG87302,KANG,1987,3,Australia,James Van Gelder,Australian Kangchenjunga N Face Expedition,FALSE,3,0,0,FALSE
EVER87302,EVER,1987,3,USA,Scott Fischer,American Everest N Face Expedition 1987,FALSE,15,0,0,TRUE
ANN186402,ANN1,1986,4,Poland,Jerzy Kukuczka,Polish Winter Annapurna Expedition,TRUE,7,2,0,FALSE
ANN186401,ANN1,1986,4,Switzerland,Daniel Anker,Swiss Annapurna I Winter Expedition,FALSE,2,0,0,FALSE
DHA186401,DHA1,1986,4,S Korea,Cho Jung-Sul,1986-87 Korean Himalaya Winter Dhaulagiri I Expedition,FALSE,5,0,0,FALSE
DHA186402,DHA1,1986,4,Spain,Enric Lucas,Catalan Dhaulagiri Winter Expedition,FALSE,4,0,0,FALSE
HIME86401,HIME,1986,4,Poland,Jozef Stepien,Himalaya Winter Expedition 1986-87 Himalchuli,FALSE,7,0,1,FALSE
MAKA86303,MAKA,1986,3,Italy,Cesare Cesa Bianchi,Cesa Bianchi Makalu 1986,FALSE,4,0,0,FALSE
MAKA86301,MAKA,1986,3,Italy,Reinhold Messner,Messner Makalu & Lhotse Expeditions,TRUE,9,3,0,FALSE
MAKA86304,MAKA,1986,3,France,Raymond Renaud,Makalu 1986 French Expedition Raymond Renaud,FALSE,10,0,0,TRUE
MAKA86302,MAKA,1986,3,Poland,Krysztof Pankiewicz,Himalayan Expedition Makalu 1986,TRUE,15,2,1,FALSE
JANU86301,JANU,1986,3,Australia,Terry Tremble,Australian Army Alpine Expedition to Khumbakarna (Jannu),FALSE,3,0,1,FALSE
LSHR86301,LSHR,1986,3,Spain,Manuel Casas,Spanish Expedition to Lhotse Shar,FALSE,10,0,1,FALSE
CHAM86302,CHAM,1986,3,Japan,Akio Shinya,Japan College of Dairying Chamlang Climbing Expedition 1986,TRUE,13,1,0,FALSE
CHAM86301,CHAM,1986,3,S Korea,Woo Jong-Duk,1986 Korean Chamlang Expedition,TRUE,5,3,0,FALSE
MAK286301,MAK2,1986,3,Israel,Doron Erel,Israel Makalu II,FALSE,7,0,0,FALSE
MAK286302,MAK2,1986,3,S Korea,Lee Dong-Yeon,1986 Korean Kangchungtse Expedition,TRUE,9,3,0,FALSE
KANG86301,KANG,1986,3,Spain,Joan Hugas Maurici,Girona Himalaya 1986,TRUE,10,1,0,FALSE
NEPA86301,NEPA,1986,3,France,Dominique Hembise,Joint Nepal-French Kirat Chuli Expedition,FALSE,6,0,0,TRUE
CHOY86302,CHOY,1986,3,Japan,Nobuo Shiraishi,Kitakyusu Cho Oyu Expedition 1986,TRUE,8,1,0,FALSE
CHOY86301,CHOY,1986,3,Switzerland,Erhard Loretan,Cho Oyu Himalayan Expedition,FALSE,3,0,1,FALSE
DORJ86301,DORJ,1986,3,W Germany,Klaus Stark,Bavarian Dorje Lhakpa Expedition,TRUE,5,2,0,FALSE
GAUR86301,GAUR,1986,3,Spain,Jose Maria Camara Torre,Spanish Gaurishanker Expedition,FALSE,5,0,0,FALSE
GYAC86301,GYAC,1986,3,Spain,Jose Luis Zuloaga,Basque Gyachung Kang Expedition,FALSE,10,0,0,FALSE
LANG86301,LANG,1986,3,S Korea,Yoon Keon-Jung,1986 Korean Langtang Lirung Expedition,TRUE,8,5,0,FALSE
LANG86302,LANG,1986,3,Spain,Miguel Angel Puertas,Madrid Langtang Lirung Expedition 1986,FALSE,5,0,0,FALSE
AMAD86301,AMAD,1986,3,Czechoslovakia,Miroslav Smid,ADR Rocks Expedition Ama Dablam,TRUE,11,3,0,FALSE
KTEG86301,KTEG,1986,3,USA,Jordan Smith (Jr.),American Kangtega Expedition,TRUE,5,3,0,FALSE
PUMO86303,PUMO,1986,3,UK,Sandy Allan,American-British Pumori S Ridge Expedition 1986,TRUE,4,2,0,FALSE
THAM86301,THAM,1986,3,Spain,Jose Luis Fernandez,Thamserku Hortaleza al Himalaya 1986,FALSE,4,0,0,FALSE
AMAD86303,AMAD,1986,3,Switzerland,Pierre-Antoine Hiroz,Swiss Expedition to Ama Dablam,TRUE,6,6,0,FALSE
PUMO86301,PUMO,1986,3,New Zealand,John Roberts,New Zealand Pumori Expedition,FALSE,6,0,0,FALSE
PUMO86302,PUMO,1986,3,Japan,Mikio Mitsuhata,Ryoho Climbing Club Himalayan Exped to E Ridge-Pumori 1986,FALSE,2,0,0,TRUE
AMAD86302,AMAD,1986,3,Yugoslavia,Darko Berljak,Zagreb Mountaineering Expedition Ama Dablam 1986,TRUE,7,3,0,FALSE
HIMN86301,HIMN,1986,3,W Germany,Wolfgang Weinzierl,Bavarian Himalchuli N Expedition 1986,FALSE,4,0,3,FALSE
MANA86301,MANA,1986,3,Poland,Jerzy Kukuczka,Polish Manaslu and Annapurna Expedition,TRUE,6,2,0,FALSE
HIME86301,HIME,1986,3,Japan,Sadao Okada,Nihon University Himalchuli Expedition 1986,TRUE,7,3,1,TRUE
MANA86303,MANA,1986,3,Colombia,Carlos Eduardo Gomez,Colombia Himalaya 1986,FALSE,9,0,0,FALSE
MANA86302,MANA,1986,3,Yugoslavia,Jovan Poposki,Macedonian SE Face Expedition 1986 Manaslu,FALSE,13,0,0,FALSE
ANN386302,ANN3,1986,3,Italy,Maurizio Maggi,Delle Torre Annapurna III Expedition,FALSE,7,0,1,FALSE
ANN186302,ANN1,1986,3,France,Jerome Greggory,Annapurna NW Ridge Autumn 1986,FALSE,10,0,1,FALSE
FANG86301,FANG,1986,3,S Korea,Kim Jong-Duk,1986 Fang Expedition Team of Khic Alpine Club of Korea,FALSE,6,0,0,FALSE
GANG86301,GANG,1986,3,S Korea,Kim Jung,Korea Seoul Alpine Assoc Exp to Gangapurna & Annapurna III,FALSE,6,0,0,FALSE
ANN386301,ANN3,1986,3,S Korea,Kim Jung,Korea Seoul Alpine Assoc Exp to Gangapurna & Annapurna III,FALSE,6,0,0,FALSE
ANN186303,ANN1,1986,3,France,Henri Sigayret,French Expedition (Sigayret) Autumn 1986,FALSE,3,0,0,FALSE
ANN186304,ANN1,1986,3,France,Marc Batard,Annapurna 1986,FALSE,10,0,0,FALSE
ANN186301,ANN1,1986,3,Italy,Sergio Martini,Italian Annapurna I Expedition,TRUE,3,3,0,FALSE
DHA186301,DHA1,1986,3,Austria,Eduard Lindenthaler,Austrian Dhaulagiri Expedition 1986,FALSE,8,0,1,FALSE
DHA186302,DHA1,1986,3,Poland,Eugeniusz Chrobak,Dhaulagiri S Face 1986,FALSE,16,0,0,FALSE
DHA186303,DHA1,1986,3,France,James Merel,Haute Tarentaise Dhaulagiri Expedition,FALSE,5,0,0,FALSE
TRIP86301,TRIP,1986,3,Japan,Noriyuki Hata,Okayama University-Nepal Himalaya Exp to Tripura Hiunchuli,TRUE,4,2,0,FALSE
TUKU86301,TUKU,1986,3,Nepal,Bhagirath Narsingh Rana,RNA Expedition to Tukuche Peak Autumn 1986,TRUE,50,17,0,FALSE
GYAC86101,GYAC,1986,1,France,Jean-Claude Marmier,France-Nepali Joint Expedition to Gyachung Kang,TRUE,13,6,0,FALSE
CHOY86102,CHOY,1986,1,USA,James Frush,Cowboys on Cho Oyu,TRUE,8,2,0,FALSE
CHOY86101,CHOY,1986,1,Poland,Ryszard Gajewski,Zakopane Spring 1986 Cho Oyu,TRUE,8,5,0,FALSE
CHOY86103,CHOY,1986,1,W Germany,Stefan Woerner,Swiss Cho Oyu Expedition 1986,TRUE,12,7,0,FALSE
AMAD86101,AMAD,1986,1,UK,Iain Allen,Kenya Ama Dablam Expedition,FALSE,5,0,0,FALSE
NUPT86101,NUPT,1986,1,USA,Jeff Lowe,Colorado Kangtega-Nuptse Expedition,FALSE,2,0,0,FALSE
KTEG86102,KTEG,1986,1,USA,Jeff Lowe,Colorado Kangtega-Nuptse Expedition,TRUE,6,2,0,FALSE
AMAD86102,AMAD,1986,1,W Germany,Hans Eitel,Lampertheimer Himalaya-Expedition Nepal 1986,TRUE,10,2,0,FALSE
KTEG86101,KTEG,1986,1,W Germany,Hans Eitel,Lampertheimer Himalaya-Expedition Nepal 1986,FALSE,10,0,0,FALSE
KANG86101,KANG,1986,1,Australia,Michael Groom,Australian Kangchenjunga Expedition,FALSE,5,0,0,FALSE
MAKA86101,MAKA,1986,1,USA,Ned Gillette,American Makalu Expedition,FALSE,4,0,0,TRUE
MAK286101,MAK2,1986,1,USA,Glenn Fortner,1986 Colorado Kangchungtse Expedition,FALSE,7,0,1,FALSE
LSHR86101,LSHR,1986,1,UK,"Sandy Allan, Malcolm Duff",British Lhotse Expedition,FALSE,2,0,0,FALSE
ANNS86101,ANNS,1986,1,Yugoslavia,Marija Frantar,Yugoslav S Annapurna Women's Expedition,FALSE,9,0,0,FALSE
GANG86101,GANG,1986,1,S Korea,Kim Ki-Chul,1986 Korean Gangapurna Expedition,TRUE,8,4,0,FALSE
ANN186101,ANN1,1986,1,Bulgaria,Boyan Atanassov,Bulgarian Winter Expedition Annapurna 1986,FALSE,9,0,0,FALSE
ANN186102,ANN1,1986,1,Italy,Giacomo Stefani,Spedizione Citta de Lecco 1986 to Annapurna I,FALSE,5,0,0,FALSE
LANG86101,LANG,1986,1,Japan,Kenryo Numa,Ohtani Himalaya Alpine Club Langtang Lirung Expedition 1986,TRUE,8,4,0,FALSE
MANA86101,MANA,1986,1,W Germany,Michel Dacher,Schuster Manaslu Expedition to Manaslu,FALSE,16,0,2,FALSE
GAN186101,GAN1,1986,1,Switzerland,Olivier Matile,Swiss Ganesh I Expedition,FALSE,9,0,0,FALSE
LSIS86101,LSIS,1986,1,New Zealand,Martin Hunter,New Zealand Langshisa Ri Expedition,TRUE,5,4,0,FALSE
GAN386101,GAN3,1986,1,S Korea,Park Jong-Tae,1986 Sogang Alpine Ganesh Himal III Expedition,FALSE,6,0,0,FALSE
DHA186102,DHA1,1986,1,Yugoslavia,Stane Belak,Slovene Dhaulagiri Expedition,FALSE,2,0,0,FALSE
TILI86101,TILI,1986,1,W Germany,Hans Huhn,Ravenaburg Tilicho Expedition,FALSE,16,0,2,FALSE
BHRI86101,BHRI,1986,1,France,Claude Jaccoux,French-Nepalese Bhrikuti Expedition,FALSE,9,0,0,FALSE
DHA186101,DHA1,1986,1,W Germany,Guenther Haerter,DAV Summit Club Expedition,TRUE,15,5,0,FALSE
DHA286101,DHA2,1986,1,S Korea,Lee Don-Yong,1986 Korean Dhaulagiri II Expedition,TRUE,4,1,1,FALSE
TAWO85401,TAWO,1985,4,Japan,"Oh In-Hwan, Tamotsu Ohnishi",Korean-Japanese Joint Expedition 1985-86 Winter to Tawoche,TRUE,11,1,1,FALSE
EVER85201,EVER,1985,2,Spain,Conrad Blanch,,TRUE,14,3,0,TRUE
EVER85103,EVER,1985,1,UK,Malcolm Duff,,FALSE,19,0,0,TRUE
KANG84401,KANG,1984,4,USA,Chris Chandler,Kanchenjunga N Face Winter Expedition,FALSE,3,0,1,FALSE
JANU84401,JANU,1984,4,S Korea,Kim Ki-Heyg,1984-85 Korean Winter Jannu Expedition,TRUE,9,1,0,FALSE
AMAD84401,AMAD,1984,4,Japan,Tsutomu Dobashi,GHM Ama Dablam N Ridge Expedition,FALSE,6,0,0,FALSE
CHOY84401,CHOY,1984,4,Poland,Andrzej Zawada,International Winter Cho Oyu Expedition 1984-85,TRUE,12,4,0,FALSE
KGUR84401,KGUR,1984,4,Australia,Michael Chapman,Anglo-Australian Kang Guru Expedition,FALSE,3,0,0,FALSE
KHAT84401,KHAT,1984,4,Australia,John Thomas Lamb,Australian Khatang Winter Expedition,FALSE,2,0,0,FALSE
NEMJ84401,NEMJ,1984,4,Japan,Iwao Maeda,Den Den Kyushu Alpine Club Himlung Himal Expedition 1984,FALSE,9,0,0,FALSE
ANN184403,ANN1,1984,4,S Korea,Ahn Chang-Yeul,1984-85 Korean Annapurna I Winter Expedition,FALSE,5,0,0,TRUE
GANG84401,GANG,1984,4,S Korea,Lee Suk-Woo,1984-45 Korean Gangapurna Expedition,FALSE,1,0,0,FALSE
ANN184401,ANN1,1984,4,Japan,Kuniaki Yagihara,Japan Gunma Winter Annapurna I Expedition 1984-85,FALSE,15,0,0,TRUE
ANN184402,ANN1,1984,4,France,Bernard Muller,French Expedition to Annapurna I,FALSE,6,0,0,FALSE
ANNS84401,ANNS,1984,4,Japan,Nobuaki Miyano,CITAC Annapurna S Peak Expedition,FALSE,3,0,0,FALSE
DHA184401,DHA1,1984,4,Japan,Haruyuki Endo,Yeti Dojin Dhaulagiri I Expedition,FALSE,3,0,0,FALSE
TILI84401,TILI,1984,4,Canada,Stephen Adamson,Canadian Winter Himalayan Expedition to Tilicho,FALSE,8,0,0,FALSE
DHA184402,DHA1,1984,4,Poland,Adam Bilczewski,Polish Winter Himalaya Expedition Dhaulagiri 1984-85,TRUE,11,2,0,FALSE
JANU84301,JANU,1984,3,Switzerland,Martin Fischer,Swiss Jannu Expedition,TRUE,6,5,0,FALSE
YALU84301,YALU,1984,3,Poland,Tadeusz Karolczak,Polish Spain Yalungkang Expedition,TRUE,10,4,0,FALSE
YALU84302,YALU,1984,3,France,Bernard Muller,Groupe Militaire de Haute Montagne (GMHM),TRUE,6,4,0,FALSE
KANG84301,KANG,1984,3,Canada,Roger Marshall,International Kangchenjunga Expedition,TRUE,2,1,0,FALSE
NUPT84301,NUPT,1984,3,France,Raymond Renaud,Expedition Cret Himalaya to Nuptse,FALSE,10,0,0,FALSE
CHOL84301,CHOL,1984,3,USA,Todd Bibler,American Cholatse Expedition,TRUE,4,4,0,FALSE
CHOY84302,CHOY,1984,3,Yugoslavia,Matjaz Pecovnik,Slovene Impol Cho Oyu Exoedition,FALSE,5,0,0,FALSE
LOBE84303,LOBE,1984,3,France,Dominique Hembise,,TRUE,6,5,0,FALSE
LOBW84301,LOBW,1984,3,Japan,Tamotsu Ohnishi,Osaka Alpine Club Expedition 1984 Autumn Lobuje West,TRUE,6,2,0,FALSE
PUMO84301,PUMO,1984,3,S Korea,Kim Ki-Hwan,1984 Pumori Expedition,FALSE,6,0,0,FALSE
CHOY84301,CHOY,1984,3,Spain,Lluis Belvis Del Rio,Catalan Cho Oyu Expedition,TRUE,6,4,0,FALSE
MAKA84302,MAKA,1984,3,Switzerland,Romolo Nottaris,Nottaris Makalu Expedition,TRUE,3,1,0,FALSE
LSHR84301,LSHR,1984,3,UK,Adrian Burgess,Anglo-Canadian Lhotse Shar Expedition,FALSE,5,0,0,FALSE
THAM84301,THAM,1984,3,S Korea,Shin Yong-Tae,1984 Korea Pusan Himalaya Mt. Thamserku Expedition,TRUE,6,2,0,FALSE
MAKA84301,MAKA,1984,3,Italy,Almo Giambisi,"Italian Mountaineering Expedition ""City of Trento"" to Makalu",FALSE,11,0,0,FALSE
BARU84301,BARU,1984,3,W Germany,Guenther Haerter,DAV Baruntse Berg und Skischule Expedition,TRUE,16,13,0,FALSE
MAKA84303,MAKA,1984,3,Spain,Antonio Luna Rodriguez,Cordoba Makalu Expedition,FALSE,6,0,0,FALSE
ANN384301,ANN3,1984,3,S Korea,Ko Kwang-Soo,Chosum University Alpine Club Expedition to Annapurna III,FALSE,4,0,0,FALSE
FANG84301,FANG,1984,3,USA,Wesley Krause,Mountain Madness Fang Expedition,FALSE,3,0,0,FALSE
ANNS84301,ANNS,1984,3,USA,Mark Udall,Colorado Annapurna S Expedition,TRUE,5,5,0,FALSE
ANN184302,ANN1,1984,3,Switzerland,Frank Tschirky,Swiss Annapurna Expedition (to E Ridge of Annapurna I),TRUE,6,2,0,FALSE
ANN184301,ANN1,1984,3,Switzerland,Jean Troillet,Steiner-Troillet Expedition,FALSE,2,0,0,FALSE
ANN184303,ANN1,1984,3,Japan,Shunji Takegawa,1984 Tokyo-Tatras Expedition to Nilgiri S & Annapurna I,FALSE,10,0,0,FALSE
NILN84301,NILN,1984,3,Japan,Shunji Takegawa,1984 Tokyo-Tatras Expedition to Nilgiri S & Annapurna I,FALSE,3,0,0,FALSE
NILS84301,NILS,1984,3,Japan,Shunji Takegawa,1984 Tokyo-Tatras Expedition to Nilgiri S & Annapurna I,FALSE,10,0,0,FALSE
GLAC84302,GLAC,1984,3,S Korea,Um Gae-Sung,1984 Korean Glacier Dome Expedition,TRUE,3,1,0,FALSE
ANNM84301,ANNM,1984,3,Spain,Nil Bohigas Martorell,Annapurna South Face Expedition - Spanish,TRUE,4,2,0,FALSE
GLAC84301,GLAC,1984,3,Austria,Josef Oberauer,Austrian Glacier Dome Expedition,TRUE,6,4,0,FALSE
TILI84301,TILI,1984,3,France,Emmanuel Schmutz,Yak & Yeti Expedition to Tilicho,FALSE,33,0,0,FALSE
KGUR84301,KGUR,1984,3,S Korea,Bae Seung-Youl,Kwang Woon/University Alpine Club Kang Guru Expedition 1984,TRUE,3,2,0,FALSE
HIME84301,HIME,1984,3,USA,Michael (Mike) Yager,American Himalchuli Expedition,TRUE,8,3,0,FALSE
MANA84301,MANA,1984,3,Poland,Janusz Kulis,Polish Manaslu Expedition 1984,TRUE,11,2,0,FALSE
MANA84302,MANA,1984,3,Italy,Cesare Cesa Bianchi,Cesa-Bianchi 8000 to Manaslu,FALSE,9,0,0,FALSE
MANN84301,MANN,1984,3,W Germany,Klaus Wanger,Manaslu N Expedition,FALSE,14,0,0,FALSE
GAUR84301,GAUR,1984,3,Japan,Michio Yuasa,Japanese Alpine Club Tokai Goodwill Expedition to Gaurishankar,FALSE,13,0,0,TRUE
CHOB84301,CHOB,1984,3,Canada,Michael Badham,Ontario Himalayan Mountaineering Expedition to Chobuje,FALSE,12,0,0,FALSE
GAN384301,GAN3,1984,3,Switzerland,Roland Garin,Diablerets Ganesh Expedition to Ganesh III,FALSE,10,0,0,FALSE
LANG84301,LANG,1984,3,USA,Daniel Newell,Langtang Lirung N Face Expedition,FALSE,5,0,0,FALSE
GAN384302,GAN3,1984,3,UK,Richard Allen,British Ganesh Himalaya Expedition 1984,TRUE,2,2,0,FALSE
DHA184302,DHA1,1984,3,France,Pierre Beghin,City of Grenoble Expedition Dhaulagiri I,TRUE,4,2,0,FALSE
DHA284301,DHA2,1984,3,France,Benoit Chamoux,Dhaula Ski 1984 to Dhaulagiri II,FALSE,4,0,0,FALSE
PUTH84301,PUTH,1984,3,Japan,Kaneo Nakamura,Mie Japan Expedition 1984,TRUE,8,2,0,FALSE
DHA184301,DHA1,1984,3,Czechoslovakia,Jiri Novak,Czechoslovak Mountaineering Expedition Dhaulagiri 1984,TRUE,20,3,1,TRUE
PUMO84101,PUMO,1984,1,Australia,Geoffery Bartram,Andean Pumori Expedition,TRUE,6,6,0,FALSE
AMAD84102,AMAD,1984,1,USA,James Eisenhard,American Ama Dablam Expedition,FALSE,7,0,0,FALSE
KANG84102,KANG,1984,1,New Zealand,Nick Banks,New Zealand Kangchenjunga Expedition,FALSE,4,0,0,FALSE
GAUR84101,GAUR,1984,1,USA,Wyman Culbreth,Gaurishankar American Expedition 1984,TRUE,1,1,0,FALSE
LANG84101,LANG,1984,1,Canada,Shaun Parent,Canadian Langtang Expedition,FALSE,8,0,0,FALSE
LOBE84101,LOBE,1984,1,USA,Larry Nielson,,TRUE,2,1,0,FALSE
MAKA84101,MAKA,1984,1,USA,Carlos Buhler,American Makalu Expedition,FALSE,6,0,0,FALSE
TAWO84101,TAWO,1984,1,USA,John Roskelley,Amerasia Tawoche Expedition,FALSE,3,0,0,FALSE
CHOY84102,CHOY,1984,1,UK,Steven Berry,Bristol Cho Oyu Expedition,FALSE,10,0,0,FALSE
CHRW84102,CHRW,1984,1,UK,Dawson Stelfox,Irish Nepalese Himalaya Expedition 1984,FALSE,4,0,0,FALSE
KGUR84101,KGUR,1984,1,UK,Michael John Chapman,British Kang Guru Expedition,FALSE,2,0,0,FALSE
KAN184101,KAN1,1984,1,UK,Garry Kennard,British Kanjiroba Expedition,FALSE,2,0,0,FALSE
AMAD84101,AMAD,1984,1,France,Michel Pelle,French Expedition to Ama Dablam,FALSE,5,0,0,FALSE
ANN184101,ANN1,1984,1,France,Henri Sigayret,First on Peak-without-Name to Annapurna 8091m,FALSE,10,0,2,FALSE
LSHR84101,LSHR,1984,1,Czechoslovakia,Ivan Galfy,Czechoslovak Mountaineering Expedition to Lhotse Shar 1984,TRUE,18,4,0,FALSE
DHA184101,DHA1,1984,1,Austria,Wolfgang Nairz,Dhaulagiri S and N Tirol Himalaya Expedition,FALSE,10,0,0,FALSE
EVER84101,EVER,1984,1,USA,Thomas Fitzsimmons,American Ultima Thule Expedition,FALSE,19,0,0,TRUE
KTEG84101,KTEG,1984,1,Spain,Meri Puig,Catalan Women's Kangtega Expedition,TRUE,6,5,0,FALSE
KANB84101,KANB,1984,1,Italy,Dante Porta,Nepal Expedition 1984,FALSE,5,0,0,FALSE
MAKA84102,MAKA,1984,1,Spain,Mari Abrego Santesteban,Basque Makalu Expedition,TRUE,4,2,0,FALSE
MANA84103,MANA,1984,1,Yugoslavia,Ales Kunaver,Split Manaslu Expedition,TRUE,4,2,0,FALSE
CHOY84101,CHOY,1984,1,Czechoslovakia,Vera Komarkova,International Women's Cho Oyu Expedition,TRUE,2,2,0,TRUE
BARU84101,BARU,1984,1,S Korea,Kim Byung-Joon,1984 Korean Baruntse Himal Expedition,FALSE,7,0,0,FALSE
CHRW84101,CHRW,1984,1,S Korea,Kim Byoung-Hoon,1984 Korean Churen Himal Expedition,FALSE,2,0,0,FALSE
KGUR84102,KGUR,1984,1,S Korea,Park Soon-Jo,1984 Kang Guru Expedition of Chaik Alpine Club,TRUE,5,1,0,FALSE
PUTH84101,PUTH,1984,1,S Korea,Cho Chung-Sool,1984 Korea Himalaya Mt. Putha Hiunchuli Expedition,TRUE,5,2,0,FALSE
SHA284101,SHA2,1984,1,S Korea,Lee Yong-Ho,"Exp of Korean Alpine Guides Association - Nuptse, Shartse",TRUE,7,2,0,FALSE
AMAD84103,AMAD,1984,1,Japan,Naoe Sakashita,Sangaku Doshikai Ama Dablam Expedition,TRUE,1,1,0,FALSE
KANG84101,KANG,1984,1,Japan,Katsuhiko Kano,Nepal-Japan Kangchenjunga Expedition 1984,TRUE,36,4,0,TRUE
BHRI90101,BHRI,1990,1,UK,Elaine Brook,British-Nepalese Joint Bhrikuti Expedition Spring 1990,FALSE,17,0,0,FALSE
CHOY90101,CHOY,1990,1,Japan,Takao Haga,Gakushuin University Alpine Club Expedition,TRUE,13,2,0,TRUE
DORJ91401,DORJ,1991,4,S Korea,Song Ki-Bo,1991-92 Korea Winter Jugal Himal Expedition to Dorje Lhakpa,TRUE,4,2,0,FALSE
EVER91403,EVER,1991,4,S Korea,Kim Teuk-Hee,Korean Winter Everest Expedition,FALSE,5,0,0,TRUE
NEMJ91401,NEMJ,1991,4,UK,Richard Emerson,British Winter Himlung Himal Expedition,FALSE,6,0,0,FALSE
AMAD91401,AMAD,1991,4,Australia,Warwick Baird,Australian Winter Ama Dablam Expedition,TRUE,2,1,0,FALSE
BHRI91401,BHRI,1991,4,Switzerland,Romolo Nottaris,Swiss Bhrikuti Expedition,FALSE,5,0,0,FALSE
AMAD91402,AMAD,1991,4,S Korea,Lee Kyu-Sun,1991 Korea Seoul National Teachers College Alpine Club,TRUE,5,2,0,FALSE
ROCN91401,ROCN,1991,4,S Korea,Lee Dong-Myung,Tae Ryun Alpine Club Winter Khangsar Kang Expedition,FALSE,7,0,0,FALSE
PUMO91401,PUMO,1991,4,UK,Glenn Rowley,1991/92 British Winter Pumori Expedition,FALSE,8,0,0,FALSE
EVER91402,EVER,1991,4,S Korea,Kim Kwang-Jin,1991-92 Korean Winter Everest Expedition,FALSE,11,0,0,TRUE
EVER91401,EVER,1991,4,Japan,Kunaiki Yagihara,Gunma Mountaineering Federation Winter Mt. Sagarmantha SW Face Exp.,FALSE,18,0,0,TRUE
FANG91401,FANG,1991,4,S Korea,Yu Jae-Hyung,1991-92 Kang Weon National University Fang Expedition,FALSE,11,0,0,FALSE
DHA192102,DHA1,1992,1,Romania,Taina Coliban,Romanian Women's Expedition to Dhaulagiri,FALSE,3,0,2,FALSE
DORJ92101,DORJ,1992,1,USA,Carlos Buhler,1992 International Dorje Lhakpa Expedition,TRUE,2,1,0,FALSE
DHA192101,DHA1,1992,1,USSR,"Vladimir Moussienko, Erwin Beyerlein",Swabian-Siberian Expedition Dhaulagiri,TRUE,12,5,1,FALSE
DHA292101,DHA2,1992,1,S Korea,Ryu Si-Dong,1992 Korean Palgong Alpine Club Dhaulagiri II Expedition,FALSE,7,0,0,FALSE
GAN292101,GAN2,1992,1,S Korea,Kim Jong-Min,Korea Ganesh Himal II Expedition,FALSE,4,0,0,FALSE
TUKU92101,TUKU,1992,1,France,Georges Derycke,French Tukuche Expedition,FALSE,6,0,0,FALSE
SAIP92101,SAIP,1992,1,UK,Chuck Evans,British Saipal Expedition,FALSE,6,0,0,FALSE
CHOY92101,CHOY,1992,1,Sweden,Goran Kropp,Swedish Cho Oyu Expedition 1992,TRUE,5,1,0,TRUE
CHOY92105,CHOY,1992,1,Belgium,Bernard Mousny,Belgian Himalayan Expedition 1992/Cho Oyu,TRUE,8,2,0,TRUE
CHOY92106,CHOY,1992,1,Germany,Hans Eitel,International Mountain Climbing (IMC) Cho Oyu Expedition,TRUE,15,1,1,FALSE
CHOY92102,CHOY,1992,1,USA,Donald McIntyre,1992 Cho Oyu Expedition,FALSE,8,0,0,FALSE
CHOY92107,CHOY,1992,1,Germany,Peter Geyer,DAV Summit Club Cho Oyu Expedition,TRUE,13,1,0,FALSE
CHOY92103,CHOY,1992,1,Italy,Giuseppe Vigani,Alpine Expedition to Cho Oyu,TRUE,18,3,0,TRUE
AMAD92103,AMAD,1992,1,UK,Robin Beadle,Himalayan Kingdoms Ama Dablam Expedition,FALSE,12,0,0,FALSE
AMAD92104,AMAD,1992,1,UK,Ross Ashe-Cregan,Ultimate Challenge to Ama Dablam,TRUE,9,1,0,FALSE
AMAD92101,AMAD,1992,1,USA,David Nettle,Spring 1992 Ama Dablam Expedition,TRUE,2,2,0,FALSE
PUMO92101,PUMO,1992,1,Austria,Christof Drechsel,Pumori Expedition,FALSE,3,0,0,FALSE
CHOY92108,CHOY,1992,1,Germany,Reinhard Schmitz,German Cho Oyu Expedition Krickhausen Finale,TRUE,15,3,0,FALSE
